lemma,list,rank
the,NGSL,1
be,NGSL,2
and,NGSL,3
of,NGSL,4
to,NGSL,5
a,NGSL,6
in,NGSL,7
have,NGSL,8
it,NGSL,9
you,NGSL,10
he,NGSL,11
for,NGSL,12
they,NGSL,13
not,NGSL,14
that,NGSL,15
we,NGSL,16
on,NGSL,17
with,NGSL,18
this,NGSL,19
I,NGSL,20
do,NGSL,21
as,NGSL,22
at,NGSL,23
she,NGSL,24
but,NGSL,25
from,NGSL,26
by,NGSL,27
will,NGSL,28
or,NGSL,29
say,NGSL,30
go,NGSL,31
so,NGSL,32
all,NGSL,33
if,NGSL,34
one,NGSL,35
would,NGSL,36
about,NGSL,37
can,NGSL,38
which,NGSL,39
there,NGSL,40
know,NGSL,41
more,NGSL,42
get,NGSL,43
who,NGSL,44
like,NGSL,45
when,NGSL,46
think,NGSL,47
make,NGSL,48
time,NGSL,49
see,NGSL,50
what,NGSL,51
up,NGSL,52
some,NGSL,53
other,NGSL,54
out,NGSL,55
good,NGSL,56
people,NGSL,57
year,NGSL,58
take,NGSL,59
no,NGSL,60
well,NGSL,61
because,NGSL,62
very,NGSL,63
just,NGSL,64
come,NGSL,65
could,NGSL,66
work,NGSL,67
use,NGSL,68
than,NGSL,69
now,NGSL,70
then,NGSL,71
also,NGSL,72
into,NGSL,73
only,NGSL,74
look,NGSL,75
want,NGSL,76
give,NGSL,77
first,NGSL,78
new,NGSL,79
way,NGSL,80
find,NGSL,81
over,NGSL,82
any,NGSL,83
after,NGSL,84
day,NGSL,85
where,NGSL,86
thing,NGSL,87
most,NGSL,88
should,NGSL,89
need,NGSL,90
much,NGSL,91
right,NGSL,92
how,NGSL,93
back,NGSL,94
mean,NGSL,95
even,NGSL,96
may,NGSL,97
here,NGSL,98
many,NGSL,99
such,NGSL,100
last,NGSL,101
child,NGSL,102
tell,NGSL,103
really,NGSL,104
call,NGSL,105
before,NGSL,106
company,NGSL,107
through,NGSL,108
down,NGSL,109
show,NGSL,110
life,NGSL,111
man,NGSL,112
change,NGSL,113
place,NGSL,114
long,NGSL,115
between,NGSL,116
feel,NGSL,117
too,NGSL,118
still,NGSL,119
problem,NGSL,120
write,NGSL,121
same,NGSL,122
lot,NGSL,123
great,NGSL,124
try,NGSL,125
leave,NGSL,126
number,NGSL,127
both,NGSL,128
own,NGSL,129
part,NGSL,130
point,NGSL,131
little,NGSL,132
help,NGSL,133
ask,NGSL,134
meet,NGSL,135
start,NGSL,136
talk,NGSL,137
something,NGSL,138
put,NGSL,139
another,NGSL,140
become,NGSL,141
interest,NGSL,142
country,NGSL,143
old,NGSL,144
each,NGSL,145
school,NGSL,146
late,NGSL,147
high,NGSL,148
different,NGSL,149
off,NGSL,150
next,NGSL,151
end,NGSL,152
live,NGSL,153
why,NGSL,154
while,NGSL,155
world,NGSL,156
week,NGSL,157
play,NGSL,158
might,NGSL,159
must,NGSL,160
home,NGSL,161
never,NGSL,162
include,NGSL,163
course,NGSL,164
house,NGSL,165
report,NGSL,166
group,NGSL,167
case,NGSL,168
woman,NGSL,169
around,NGSL,170
book,NGSL,171
family,NGSL,172
seem,NGSL,173
let,NGSL,174
again,NGSL,175
kind,NGSL,176
keep,NGSL,177
hear,NGSL,178
system,NGSL,179
every,NGSL,180
question,NGSL,181
during,NGSL,182
always,NGSL,183
big,NGSL,184
set,NGSL,185
small,NGSL,186
study,NGSL,187
follow,NGSL,188
begin,NGSL,189
important,NGSL,190
since,NGSL,191
run,NGSL,192
under,NGSL,193
turn,NGSL,194
few,NGSL,195
bring,NGSL,196
early,NGSL,197
hand,NGSL,198
state,NGSL,199
move,NGSL,200
money,NGSL,201
fact,NGSL,202
however,NGSL,203
area,NGSL,204
provide,NGSL,205
name,NGSL,206
read,NGSL,207
friend,NGSL,208
month,NGSL,209
large,NGSL,210
business,NGSL,211
without,NGSL,212
information,NGSL,213
open,NGSL,214
order,NGSL,215
government,NGSL,216
word,NGSL,217
issue,NGSL,218
market,NGSL,219
pay,NGSL,220
build,NGSL,221
hold,NGSL,222
service,NGSL,223
against,NGSL,224
believe,NGSL,225
second,NGSL,226
though,NGSL,227
yes,NGSL,228
love,NGSL,229
increase,NGSL,230
job,NGSL,231
plan,NGSL,232
result,NGSL,233
away,NGSL,234
example,NGSL,235
happen,NGSL,236
offer,NGSL,237
young,NGSL,238
close,NGSL,239
program,NGSL,240
lead,NGSL,241
buy,NGSL,242
understand,NGSL,243
thank,NGSL,244
far,NGSL,245
today,NGSL,246
hour,NGSL,247
student,NGSL,248
face,NGSL,249
hope,NGSL,250
idea,NGSL,251
cost,NGSL,252
less,NGSL,253
room,NGSL,254
until,NGSL,255
reason,NGSL,256
form,NGSL,257
spend,NGSL,258
head,NGSL,259
car,NGSL,260
learn,NGSL,261
level,NGSL,262
person,NGSL,263
experience,NGSL,264
once,NGSL,265
member,NGSL,266
enough,NGSL,267
bad,NGSL,268
city,NGSL,269
night,NGSL,270
able,NGSL,271
support,NGSL,272
whether,NGSL,273
line,NGSL,274
present,NGSL,275
side,NGSL,276
quite,NGSL,277
although,NGSL,278
sure,NGSL,279
term,NGSL,280
least,NGSL,281
age,NGSL,282
low,NGSL,283
speak,NGSL,284
within,NGSL,285
process,NGSL,286
public,NGSL,287
often,NGSL,288
train,NGSL,289
possible,NGSL,290
actually,NGSL,291
rather,NGSL,292
view,NGSL,293
together,NGSL,294
consider,NGSL,295
price,NGSL,296
parent,NGSL,297
hard,NGSL,298
party,NGSL,299
local,NGSL,300
control,NGSL,301
already,NGSL,302
concern,NGSL,303
product,NGSL,304
lose,NGSL,305
story,NGSL,306
almost,NGSL,307
continue,NGSL,308
stand,NGSL,309
whole,NGSL,310
yet,NGSL,311
rate,NGSL,312
care,NGSL,313
expect,NGSL,314
effect,NGSL,315
sort,NGSL,316
ever,NGSL,317
anything,NGSL,318
cause,NGSL,319
fall,NGSL,320
deal,NGSL,321
water,NGSL,322
send,NGSL,323
